name,width,length,height,center x,center y,center z
collision9,0.022,0.022,0.022,-0.275408807,-0.660522108,-0.021923407
collision6,0.022,0.022,0.022,-0.237214333,-0.696820949,-0.022709608
collision3,0.022,0.022,0.022,-0.138483013,-0.788703833,-0.602791415
collision0,0.022,0.022,0.022,-0.045529792,-0.877060301,-0.639539327
collision14,0.022,0.022,0.022,-0.277793687,-0.586013386,-0.025399963
collision11,0.022,0.022,0.022,-0.239113987,-0.621835904,-0.026387766
collision8,0.022,0.022,0.022,-0.200612757,-0.658416153,-0.025346938
collision2,0.022,0.022,0.022,0.036936781,-0.78728137,-0.626915343
collision5,0.022,0.022,0.022,-0.161705583,-0.695285171,-0.029949387
collision7,0.022,0.022,0.022,-0.125410703,-0.656692375,-0.02582775
collision10,0.022,0.022,0.022,-0.163973999,-0.620030405,-0.024838828
collision13,0.022,0.022,0.022,-0.202508206,-0.584102598,-0.023809557
collision16,0.022,0.022,0.022,-0.240740053,-0.548719159,-0.020548152
collision12,0.022,0.022,0.022,-0.125960777,-0.580530987,-0.031844358
collision15,0.022,0.022,0.022,-0.166081979,-0.545988365,-0.023529109
collision3,0.022,0.022,0.022,-0.138483013,-0.788703833,-0.602791415
collision0,0.022,0.022,0.022,-0.045529792,-0.877060301,-0.639539327
collision2,0.022,0.022,0.022,0.036936781,-0.78728137,-0.626915343
collision3,0.022,0.022,0.022,-0.138483013,-0.788703833,-0.602791415
collision0,0.022,0.022,0.022,-0.045529792,-0.877060301,-0.639539327
collision2,0.022,0.022,0.022,0.036936781,-0.78728137,-0.626915343
collision3,0.022,0.022,0.022,-0.138483013,-0.788703833,-0.602791415
collision0,0.022,0.022,0.022,-0.045529792,-0.877060301,-0.639539327
collision2,0.022,0.022,0.022,0.036936781,-0.78728137,-0.626915343
table,0.602548365,1.212854172,0.04,-0.118457798,-0.405654385,-0.04246238
collision4,0.022,0.022,0.022,-0.307681668,-0.793811642,-0.608563218
collision1,0.022,0.022,0.022,-0.220733889,-0.87550205,-0.606360046
